,Title,Location,Description,Link,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Agency,Price
123,2 Bedroom Apartment / Flat,Extension 10,Invest in this new development in extension 10 close to UB. A small complex of 15 units,https://www.property24.co.bw/2-bedroom-apartment-flat-for-sale-in-extension-10-114585509,2,2,2,,Property24,P 1 350 000
124,6 Bedroom House,Village,"Luxurious Property For Sale 
Location: Village
Plot size: 1000 sqm
Price: WAS P5mil",https://www.property24.co.bw/6-bedroom-house-for-sale-in-village-114549193,6,5,5,1 000 m²,Property24,P 4 000 000
125,6 Bedroom House,Village,"Luxurious Property For Sale 
Location: Village
Plot size: 1000 sqm
Price: WAS P5mil",https://www.property24.co.bw/6-bedroom-house-for-sale-in-village-114549193,6,5,5,1 000 m²,Property24,P 4 000 000
126,Commercial Property,Block 9,"CTL864
Property is currently used as a combined office/warehouse space, but it is suitable",https://www.property24.co.bw/commercial-property-for-sale-in-block-9-114489462,,,,,Property24,P 1 520 000
127,Commercial Property,Block 9,"CTL864
Property is currently used as a combined office/warehouse space, but it is suitable",https://www.property24.co.bw/commercial-property-for-sale-in-block-9-114489462,,,,,Property24,P 1 520 000
128,2 Bedroom Apartment / Flat,Village,"Property for Sale: 

Discover a promising investment opportunity in a secure complex with",https://www.property24.co.bw/2-bedroom-apartment-flat-for-sale-in-village-114609501,2,2,2,,Property24,P 1 300 000
129,2 Bedroom Apartment / Flat,Village,"Property for Sale: 

Discover a promising investment opportunity in a secure complex with",https://www.property24.co.bw/2-bedroom-apartment-flat-for-sale-in-village-114609501,2,2,2,,Property24,P 1 300 000
130,3 Bedroom House,Phakalane Golf Estate,"Area:  Phakalane Golf Estate
Ref:  BAGolf
Price:  P5 595 000.00
Plot: 1 103m²
Built Up:",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-golf-estate-114482808,3,2.5,2.5,1 103 m²,Property24,P 5 595 000
131,3 Bedroom House,Phakalane Golf Estate,"Area:  Phakalane Golf Estate
Ref:  BAGolf
Price:  P5 595 000.00
Plot: 1 103m²
Built Up:",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-golf-estate-114482808,3,2.5,2.5,1 103 m²,Property24,P 5 595 000
132,3 Bedroom Apartment / Flat,Block 10,"SETLHOA VILLAGE- A secure gated lifestyle estate offering a community centre, swimming",https://www.property24.co.bw/3-bedroom-apartment-flat-for-sale-in-block-10-114552766,3,2,2,,Property24,P 1 700 000
133,3 Bedroom Apartment / Flat,Block 10,"SETLHOA VILLAGE- A secure gated lifestyle estate offering a community centre, swimming",https://www.property24.co.bw/3-bedroom-apartment-flat-for-sale-in-block-10-114552766,3,2,2,,Property24,P 1 700 000
134,3 Bedroom House,Phakalane,"This exceptional, charming home located in the access-controlled estate in the Phakalane",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-114586644,3,2.5,2.5,1 086 m²,Property24,P 3 685 000
135,3 Bedroom House,Phakalane,"This exceptional, charming home located in the access-controlled estate in the Phakalane",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-114586644,3,2.5,2.5,1 086 m²,Property24,P 3 685 000
136,3 Bedroom House,Phakalane,This much-loved spacious townhouse situated within walking distance to the Mowana Shopping,https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-114523811,3,2.5,2.5,131 m²,Property24,P 1 450 000
137,3 Bedroom House,Phakalane,This much-loved spacious townhouse situated within walking distance to the Mowana Shopping,https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-114523811,3,2.5,2.5,131 m²,Property24,P 1 450 000
138,2 Bedroom Apartment / Flat,Tsholofelo East,"BHC 2beds Flats for Sale??????
Location: Tsholofelo-east
Price: P650k 

??Property",https://www.property24.co.bw/2-bedroom-apartment-flat-for-sale-in-tsholofelo-east-114628054,2,1,1,,Property24,P 650 000
139,2 Bedroom Apartment / Flat,Tsholofelo East,"BHC 2beds Flats for Sale??????
Location: Tsholofelo-east
Price: P650k 

??Property",https://www.property24.co.bw/2-bedroom-apartment-flat-for-sale-in-tsholofelo-east-114628054,2,1,1,,Property24,P 650 000
140,4 Bedroom House,Gaborone North,"This property comprises 4 bedrooms, all ensuite with a walk in closet. Fitted kitchen,",https://www.property24.co.bw/4-bedroom-house-for-sale-in-gaborone-north-114658076,4,5,5,505 m²,Property24,P 1 750 000
141,4 Bedroom House,Gaborone North,"This property comprises 4 bedrooms, all ensuite with a walk in closet. Fitted kitchen,",https://www.property24.co.bw/4-bedroom-house-for-sale-in-gaborone-north-114658076,4,5,5,505 m²,Property24,P 1 750 000
142,5 Bedroom House,Mokolodi 2,"MOKOLODI 2 - Nestled amidst the tranquil embrace of nature, this home sure makes a",https://www.property24.co.bw/5-bedroom-house-for-sale-in-mokolodi-2-114498303,5,4,4,15 309 m²,Property24,P 9 999 999
143,5 Bedroom House,Mokolodi 2,"MOKOLODI 2 - Nestled amidst the tranquil embrace of nature, this home sure makes a",https://www.property24.co.bw/5-bedroom-house-for-sale-in-mokolodi-2-114498303,5,4,4,15 309 m²,Property24,P 9 999 999
144,4 Bedroom House,Gaborone Central,"Location: phase 4
Plot size 465sqm

?? Four bedroomed house | three ensuites | dinning",https://www.property24.co.bw/4-bedroom-house-for-sale-in-gaborone-central-114550301,4,4,4,564 m²,Property24,P 1 900 000
145,4 Bedroom House,Gaborone Central,"Location: phase 4
Plot size 465sqm

?? Four bedroomed house | three ensuites | dinning",https://www.property24.co.bw/4-bedroom-house-for-sale-in-gaborone-central-114550301,4,4,4,564 m²,Property24,P 1 900 000
146,6 Bedroom House,Gaborone Central,"Experience unparalleled bush living in Rasesa, just 32km from Phakalane, Gaborone. This",https://www.property24.co.bw/6-bedroom-house-for-sale-in-gaborone-central-114588843,6,6,6,8 000 m²,Property24,P 13 000 000
147,6 Bedroom House,Gaborone Central,"Experience unparalleled bush living in Rasesa, just 32km from Phakalane, Gaborone. This",https://www.property24.co.bw/6-bedroom-house-for-sale-in-gaborone-central-114588843,6,6,6,8 000 m²,Property24,P 13 000 000
148,4 Bedroom House,Phakalane,Enjoy the luxury of space  in this modern 4 bedroomed residential property  located in a,https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114698687,4,4.5,4.5,,Property24,P 3 600 000
149,4 Bedroom House,Phakalane,Enjoy the luxury of space  in this modern 4 bedroomed residential property  located in a,https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114698687,4,4.5,4.5,,Property24,P 3 600 000
150,2 Bedroom Townhouse,Gaborone,This complex offers living settings of studio pads. One(1) bedroom apartment and Two(2),https://www.property24.co.bw/2-bedroom-townhouse-for-sale-in-gaborone-114514622,2,1,1,,Property24,P 1 300 000
151,2 Bedroom Townhouse,Gaborone,This complex offers living settings of studio pads. One(1) bedroom apartment and Two(2),https://www.property24.co.bw/2-bedroom-townhouse-for-sale-in-gaborone-114514622,2,1,1,,Property24,P 1 300 000
152,4 Bedroom House,Sentlhane,"SOLE Mandate
2.1 Hectare Plot in Sentlhane... with a Charming Family Home!
Area:",https://www.property24.co.bw/4-bedroom-house-for-sale-in-sentlhane-114575717,4,4,4,21 000 m²,Property24,P 3 350 000
153,4 Bedroom House,Sentlhane,"SOLE Mandate
2.1 Hectare Plot in Sentlhane... with a Charming Family Home!
Area:",https://www.property24.co.bw/4-bedroom-house-for-sale-in-sentlhane-114575717,4,4,4,21 000 m²,Property24,P 3 350 000
154,3 Bedroom House,Block 8,"Own this modern home with open plan kitchen, lounge and dinning. Master bedroom is en-suite",https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-8-114499370,3,2,2,401 m²,Property24,P 1 450 000
155,3 Bedroom House,Block 8,"Own this modern home with open plan kitchen, lounge and dinning. Master bedroom is en-suite",https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-8-114499370,3,2,2,401 m²,Property24,P 1 450 000
156,3 Bedroom House,Phakalane,"A Slice of Paradise Awaits – with an Incredible Entertainment Area!

Nestled in the heart",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-114575690,3,2.5,2.5,1 040 m²,Property24,P 3 100 000
157,3 Bedroom House,Phakalane,"A Slice of Paradise Awaits – with an Incredible Entertainment Area!

Nestled in the heart",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-114575690,3,2.5,2.5,1 040 m²,Property24,P 3 100 000
158,3 Bedroom House,Block 8,"BLOCK 8: 3 Bedroom house in a good location, has lounge, open plan with dining, a fitted",https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-8-114682775,3,2,2,595 m²,Property24,P 1 200 000
159,3 Bedroom House,Block 8,"BLOCK 8: 3 Bedroom house in a good location, has lounge, open plan with dining, a fitted",https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-8-114682775,3,2,2,595 m²,Property24,P 1 200 000
160,3 Bedroom House,Gaborone,"Discover your dream home in the heart of Mogoditshane , conveniently located near the BDF",https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-114493241,3,3,3,805 m²,Property24,P 1 850 000
161,3 Bedroom House,Gaborone,"Discover your dream home in the heart of Mogoditshane , conveniently located near the BDF",https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-114493241,3,3,3,805 m²,Property24,P 1 850 000
162,3 Bedroom House,Gaborone,NOTWANE: Nestled on a riverfront property is this charming and unique home situated on a,https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-114565169,3,2,2,4.4 ha,Property24,P 4 500 000
163,3 Bedroom House,Gaborone,NOTWANE: Nestled on a riverfront property is this charming and unique home situated on a,https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-114565169,3,2,2,4.4 ha,Property24,P 4 500 000
164,4 Bedroom House,Phakalane,"For Sale: Stunning 4-Bedroom House in Thobo Hamlet, Phakalane

Price: P2,800,000
Size:",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114558412,4,4.5,4.5,846 m²,Property24,P 2 599 000
165,4 Bedroom House,Phakalane,"For Sale: Stunning 4-Bedroom House in Thobo Hamlet, Phakalane

Price: P2,800,000
Size:",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114558412,4,4.5,4.5,846 m²,Property24,P 2 599 000
166,4 Bedroom House,Phakalane,Enjoy the luxury of space  in this modern 4 bedroomed residential property  located in a,https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-101740002,4,4.5,4.5,,Property24,P 3 600 000
167,4 Bedroom House,Phakalane,Enjoy the luxury of space  in this modern 4 bedroomed residential property  located in a,https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-101740002,4,4.5,4.5,,Property24,P 3 600 000
168,5 Bedroom House,Gaborone,"Introducing your dream home nestled atop a serene hill, offering a symphony of space,",https://www.property24.co.bw/5-bedroom-house-for-sale-in-gaborone-114372232,5,4.5,4.5,1.53 ha,Property24,P 9 999 999
169,5 Bedroom House,Gaborone,"Introducing your dream home nestled atop a serene hill, offering a symphony of space,",https://www.property24.co.bw/5-bedroom-house-for-sale-in-gaborone-114372232,5,4.5,4.5,1.53 ha,Property24,P 9 999 999
170,3 Bedroom House,Broadhurst,"TAPOLOGO GABORONE: Rare opportunity. An elegant gem property situated on 1378m2, an",https://www.property24.co.bw/3-bedroom-house-for-sale-in-broadhurst-114553325,3,2,2,1 378 m²,Property24,P 3 700 000
171,3 Bedroom House,Broadhurst,"TAPOLOGO GABORONE: Rare opportunity. An elegant gem property situated on 1378m2, an",https://www.property24.co.bw/3-bedroom-house-for-sale-in-broadhurst-114553325,3,2,2,1 378 m²,Property24,P 3 700 000
172,3 Bedroom House,Gaborone North,"six chalets plus 3 bedroom house
GOLDEN OPPORTUNITY being sold FULLY Furnished!
Area:",https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-north-114491496,3,3.5,3.5,1 817 m²,Property24,P 5 724 000
173,3 Bedroom House,Gaborone North,"six chalets plus 3 bedroom house
GOLDEN OPPORTUNITY being sold FULLY Furnished!
Area:",https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-north-114491496,3,3.5,3.5,1 817 m²,Property24,P 5 724 000
174,Commercial Property,Gaborone International Commerce Park,The property sits on a massive piece of land of 5000m2 in a very sought after location of,https://www.property24.co.bw/commercial-property-for-sale-in-gaborone-international-commerce-park-114529719,,,,5 000 m²,Property24,P 14 000 000
175,Commercial Property,Gaborone International Commerce Park,The property sits on a massive piece of land of 5000m2 in a very sought after location of,https://www.property24.co.bw/commercial-property-for-sale-in-gaborone-international-commerce-park-114529719,,,,5 000 m²,Property24,P 14 000 000
176,4 Bedroom House,Phakalane Golf Estate,"MDA5548
Spanning three floors, this property offers luxurious accommodation designed for",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-golf-estate-113310290,4,4,4,1 633 m²,Property24,P 11 000 000
177,4 Bedroom House,Phakalane Golf Estate,"MDA5548
Spanning three floors, this property offers luxurious accommodation designed for",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-golf-estate-113310290,4,4,4,1 633 m²,Property24,P 11 000 000
178,5 Bedroom House,Block 7,Discover luxurious living in this all ensuite 5-bedroom double-storey home in Block 7.,https://www.property24.co.bw/5-bedroom-house-for-sale-in-block-7-114428690,5,5,5,412 m²,Property24,P 2 000 000
179,5 Bedroom House,Block 7,Discover luxurious living in this all ensuite 5-bedroom double-storey home in Block 7.,https://www.property24.co.bw/5-bedroom-house-for-sale-in-block-7-114428690,5,5,5,412 m²,Property24,P 2 000 000
180,3 Bedroom House,Phakalane,"Price reduced from: P2million..
Discover your dream home in the prestigious Phakalane",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-114543452,3,2,2,897 m²,Property24,P 1 750 000
181,3 Bedroom House,Phakalane,"Price reduced from: P2million..
Discover your dream home in the prestigious Phakalane",https://www.property24.co.bw/3-bedroom-house-for-sale-in-phakalane-114543452,3,2,2,897 m²,Property24,P 1 750 000
182,3 Bedroom House,Gaborone,"Welcome to your perfect starter home in Block 9! This charming 3-bedroom, 2-bathroom house",https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-114428777,3,2,2,450 m²,Property24,P 1 100 000
183,3 Bedroom House,Gaborone,"Welcome to your perfect starter home in Block 9! This charming 3-bedroom, 2-bathroom house",https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-114428777,3,2,2,450 m²,Property24,P 1 100 000
184,3 Bedroom Townhouse,Gaborone,BEMCOVILLE - GATED ESTATE - TSHOLOFELO AREA - This secure complex has a communal pool and,https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-gaborone-114539675,3,2,2,,Property24,P 2 080 000
185,3 Bedroom Townhouse,Gaborone,BEMCOVILLE - GATED ESTATE - TSHOLOFELO AREA - This secure complex has a communal pool and,https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-gaborone-114539675,3,2,2,,Property24,P 2 080 000
186,3 Bedroom House,Mokolodi 2,Set on the side of a kopje facing into Mokolodi Nature Reserve this is a truly,https://www.property24.co.bw/3-bedroom-house-for-sale-in-mokolodi-2-114274968,3,3,3,9 ha,Property24,P 3 500 000
187,3 Bedroom House,Mokolodi 2,Set on the side of a kopje facing into Mokolodi Nature Reserve this is a truly,https://www.property24.co.bw/3-bedroom-house-for-sale-in-mokolodi-2-114274968,3,3,3,9 ha,Property24,P 3 500 000
188,5 Bedroom House,Phakalane,"For Sale: Spacious 5-Bedroom House in Phakalane with Great Potential

Location: Phakalane",https://www.property24.co.bw/5-bedroom-house-for-sale-in-phakalane-114584065,5,5,5,,Property24,P 2 399 000
189,5 Bedroom House,Phakalane,"For Sale: Spacious 5-Bedroom House in Phakalane with Great Potential

Location: Phakalane",https://www.property24.co.bw/5-bedroom-house-for-sale-in-phakalane-114584065,5,5,5,,Property24,P 2 399 000
